,INSTALLMENT,NONE,BOTH,ONEOFF
,KM4_1,KM4_2,KM4_3,KM4_4
CUST_ID,2205,2136,2750,1859
BALANCE,766.3897405,2212.596764,1804.929107,1410.703925
BALANCE_FREQUENCY,0.816778363,0.886532755,0.948358291,0.833220785
PURCHASES,548.1369932,4.535856742,2285.772873,793.1561054
ONEOFF_PURCHASES,0.089229025,1.416690075,1390.799847,793.1103228
INSTALLMENT_PURCHASES,549.0159546,3.1505103,895.1025418,0.114986552
CASH_ADVANCE,327.9330003,2065.939459,754.7364573,833.4761959
PURCHASE_FREQUENCY,0.707285769,0.008512099,0.803806164,0.322981976
ONEOFF_PURCHASE_FREQUENCY,0.000239354,0.001494425,0.439401058,0.322713013
PURCHASES_INSTALLMENTS_FR,0.670939421,0.006094146,0.643169515,0.000300981
CASH_ADVANCE_FREQUENCY,0.042575975,0.281734599,0.105417549,0.120482628
CASH_ADVANCE_TRX,0.916099773,6.688670412,2.784,2.750941366
PURCHASE_TRX,12.13514739,0.11423221,33.21054545,7.166218397
CREDIT_LIMIT,3307.770242,4099.962529,5747.597429,4499.480985
PAYMENTS,947.8879065,1693.382042,2557.774232,1490.371954
MIN_PAYMENTS,817.4272506,995.5919585,843.4044456,702.8304771
PRC_FULL_PAYMENT,0.259603229,0.043207774,0.188933415,0.102992085
TENURE,11.46575964,11.332397,11.73781818,11.464766
MONTHLY_AVG_PURCHASE,47.96138744,0.386975601,194.1997763,70.27271297
MONTHLY_CASH_ADVANCE,30.38656887,189.1462131,67.06089311,75.80247571
LIMIT_USAGE,0.259667352,0.577455138,0.353799156,0.377390261
MIN_PAYMENT_RATIO,13.76307132,9.811471032,7.329457764,5.556127442
