,none,both,installment,oneoff
ClusterID,0,1,2,3
clu_balance,2177.572394,1811.244331,798.2670816,1429.021056
clu_purchases,1.859344498,2280.612488,543.5835891,787.3536713
clu_purchasefreq,0.003758275,0.802265411,0.703034982,0.321169638
clu_purchasetrx,0.045933014,33.13529198,12.05114401,7.118996798
clu_Monthlyavgpurchase,0.159337224,193.7597536,47.56040049,69.7582759
clu_Monthlycashadvance,186.2980431,67.64453256,33.47482138,77.84348486
clu_limitusage,0.576217224,0.354616061,0.264156199,0.378726746
clu_cashadvtrx,6.552631579,2.808124773,1.01884253,2.864994664
clu_payminpaymentratio,9.927979019,7.264788179,13.40462926,5.561421013
clu_both,0.002392344,1,0.002243158,0.003735326
clu_installment,0.01722488,0,0.997756842,0
clu_one_off,0.003349282,0,0,0.996264674
clu_none,0.977033493,0,0,0
clu_creditlimit,4055.582137,5748.836753,3338.238396,4512.90563
,1,2,3,0
